region,year,divorces,marriages,id
РЕСПУБЛИКА КАЗАХСТАН,2000,27391,90873,KZ
АКМОЛИНСКАЯ ОБЛАСТЬ,2000,1483,4929,AKM
АКТЮБИНСКАЯ ОБЛАСТЬ,2000,1215,4240,AKT
АЛМАТИНСКАЯ ОБЛАСТЬ,2000,2036,9378,ALM
АТЫРАУСКАЯ ОБЛАСТЬ,2000,644,3377,ATY
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000,868,3454,ZKZ
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2000,1198,5545,ZHA
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2000,3251,8564,KAR
КОСТАНАЙСКАЯ ОБЛАСТЬ,2000,2254,5597,KOS
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2000,807,4352,KYZ
МАНГИСТАУСКАЯ ОБЛАСТЬ,2000,738,2429,MAN
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000,1970,11733,YKZ
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2000,2014,4821,PAV
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000,983,3930,SKZ
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000,3521,8764,VKZ
Г.АСТАНА,2000,844,1842,AST
Г.АЛМАТЫ,2000,3565,7918,ALMATY
РЕСПУБЛИКА КАЗАХСТАН,2001,29599,92852,KZ
АКМОЛИНСКАЯ ОБЛАСТЬ,2001,1527,4386,AKM
АКТЮБИНСКАЯ ОБЛАСТЬ,2001,1302,4115,AKT
АЛМАТИНСКАЯ ОБЛАСТЬ,2001,2391,9965,ALM
АТЫРАУСКАЯ ОБЛАСТЬ,2001,781,3367,ATY
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001,1072,3693,ZKZ
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2001,1337,5862,ZHA
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2001,3371,8408,KAR
КОСТАНАЙСКАЯ ОБЛАСТЬ,2001,2498,5546,KOS
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2001,722,4228,KYZ
МАНГИСТАУСКАЯ ОБЛАСТЬ,2001,790,2602,MAN
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001,1867,12977,YKZ
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2001,2285,4749,PAV
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001,1078,3647,SKZ
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001,3652,8825,VKZ
Г.АСТАНА,2001,953,2153,AST
Г.АЛМАТЫ,2001,3973,8329,ALMATY
РЕСПУБЛИКА КАЗАХСТАН,2002,31236,98986,KZ
АКМОЛИНСКАЯ ОБЛАСТЬ,2002,1607,4724,AKM
АКТЮБИНСКАЯ ОБЛАСТЬ,2002,1551,4394,AKT
АЛМАТИНСКАЯ ОБЛАСТЬ,2002,2877,11056,ALM
АТЫРАУСКАЯ ОБЛАСТЬ,2002,736,3606,ATY
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002,1122,3935,ZKZ
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2002,1350,6055,ZHA
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2002,3593,8843,KAR
КОСТАНАЙСКАЯ ОБЛАСТЬ,2002,2369,5613,KOS
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2002,701,4370,KYZ
МАНГИСТАУСКАЯ ОБЛАСТЬ,2002,835,2798,MAN
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002,1926,13425,YKZ
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2002,2222,4948,PAV
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002,1252,3813,SKZ
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002,4120,9571,VKZ
Г.АСТАНА,2002,928,2429,AST
Г.АЛМАТЫ,2002,4047,9406,ALMATY
РЕСПУБЛИКА КАЗАХСТАН,2003,31717,110414,KZ
АКМОЛИНСКАЯ ОБЛАСТЬ,2003,1684,5604,AKM
АКТЮБИНСКАЯ ОБЛАСТЬ,2003,1503,5144,AKT
АЛМАТИНСКАЯ ОБЛАСТЬ,2003,2834,11614,ALM
АТЫРАУСКАЯ ОБЛАСТЬ,2003,756,3838,ATY
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003,1162,4322,ZKZ
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2003,1368,6914,ZHA
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2003,3549,9720,KAR
КОСТАНАЙСКАЯ ОБЛАСТЬ,2003,2524,6139,KOS
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2003,707,4793,KYZ
МАНГИСТАУСКАЯ ОБЛАСТЬ,2003,891,3037,MAN
