"category","region","graduation","experience_text","job_salary","job_id"
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166194
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166185
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1166182
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","3-5 лет",70000,1166163
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",85000,1166146
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",85000,1166139
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","3-5 лет",70000,1166133
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",60000,1166131
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",42500,1166129
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","3-5 лет",70000,1166127
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",72558,1166126
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",247000,1166119
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1166116
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","3-5 лет",70000,1166115
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1166113
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",72558,1166112
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",94415,1166109
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",49883,1166102
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166098
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",183356,1166083
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1166073
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166068
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50000,1166064
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166057
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","послевузовское","до 3 лет",42500,1166056
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166043
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1166042
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1166039
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50000,1166029
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","общее среднее (с 1 по 11/12 классы)","до 3 лет",42500,1166023
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50000,1166020
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50000,1166005
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1166003
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","послесреднее","до 3 лет",55000,1165988
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","до 3 лет",55000,1165968
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1165902
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1165877
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","3-5 лет",80000,1165866
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165840
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",60000,1165831
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165829
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165816
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165808
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",70000,1165784
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",60000,1165775
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165773
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","послесреднее","Без опыта",50000,1165772
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",70000,1165769
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1165763
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165758
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1165730
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165727
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165711
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","общее среднее (с 1 по 11/12 классы)","Без опыта",70000,1165709
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",70000,1165704
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",45000,1165702
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",60000,1165697
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165696
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",60000,1165692
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",65000,1165681
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",60000,1165679
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165675
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165672
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1165668
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",60000,1165666
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",60000,1165658
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",45000,1165655
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1165651
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1165646
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1165642
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1165627
"Образование, наука","С-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165622
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1165621
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",60000,1165615
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1165606
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",60000,1165604
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",60000,1165599
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",120000,1165592
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",109000,1165574
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",120000,1165573
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",100984,1165566
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165560
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1165554
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165535
"Образование, наука","КАРАГАНДИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",57000,1165530
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",50000,1165520
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1165478
"Образование, наука","КАРАГАНДИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",47000,1165476
"Образование, наука","ТУРКЕСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165457
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",120000,1165454
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",50000,1165435
"Образование, наука","ТУРКЕСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165431
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",50000,1165426
"Образование, наука","КАРАГАНДИНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",100000,1165420
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","высшее","Без опыта",75000,1165414
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",128960,1165399
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",80000,1165391
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165385
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165382
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1165372
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1165370
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",80000,1165366
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165364
"Образование, наука","г. АЛМАТЫ","высшее","до 3 лет",100000,1165363
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165353
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1165351
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1165350
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",100000,1165346
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165332
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1165330
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",100000,1165328
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1165327
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165322
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165311
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165309
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165299
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165295
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165286
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165282
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1165281
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165274
"Образование, наука","КАРАГАНДИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",60000,1165273
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165268
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165263
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165256
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1165255
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165253
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",43000,1165251
"Образование, наука","г. АЛМАТЫ","высшее","до 3 лет",100000,1165249
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165241
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1165239
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165232
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165224
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1165223
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165217
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165214
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",165467,1165212
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",55303,1165206
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165202
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165198
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1165196
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1165193
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165187
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",43000,1165181
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165180
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1165179
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165177
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165168
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50098,1165166
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165158
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165154
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1165140
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",69483,1165136
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165135
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165132
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",43000,1165129
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165126
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165125
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1165124
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1165117
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",70000,1165109
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1165104
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1165096
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",50000,1165090
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",100000,1165085
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",80000,1165076
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",50000,1165072
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",70000,1165067
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",70000,1165065
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50000,1165063
"Образование, наука","г. АЛМАТЫ","высшее","3-5 лет",80000,1165061
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1165044
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165028
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165024
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165019
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",60000,1165008
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165006
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1165001
"Образование, наука","г. АЛМАТЫ","высшее","до 3 лет",80000,1165000
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164999
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164997
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1164994
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164991
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1164988
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",60000,1164985
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1164983
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1164978
"Образование, наука","г. АЛМАТЫ","высшее","3-5 лет",80000,1164975
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","послевузовское","Без опыта",80000,1164971
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",80000,1164961
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","техническое и профессиональное","до 3 лет",45000,1164947
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164938
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","Без опыта",60000,1164934
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","3-5 лет",80000,1164930
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",75000,1164929
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","общее среднее (с 1 по 11/12 классы)","Без опыта",85000,1164928
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1164923
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164922
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1164920
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1164918
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","до 3 лет",85000,1164916
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164915
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","3-5 лет",80000,1164914
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",90000,1164913
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","3-5 лет",100000,1164911
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",42500,1164909
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",72557,1164908
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","3-5 лет",80000,1164906
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1164901
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",110000,1164898
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","3-5 лет",100000,1164895
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","3-5 лет",80000,1164893
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164884
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1164878
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164870
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",100000,1164865
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164862
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",110000,1164861
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1164860
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",45348,1164859
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164854
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",150000,1164853
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",76000,1164850
"Образование, наука","ЖАМБЫЛСКАЯ ОБЛАСТЬ","высшее","до 3 лет",50500,1164846
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","техническое и профессиональное","Без опыта",56000,1164845
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",70000,1164838
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",110000,1164837
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164836
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1164835
"Образование, наука","АТЫРАУСКАЯ ОБЛАСТЬ","высшее","Без опыта",50000,1164834
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",80000,1164833
"Образование, наука","ПАВЛОДАРСКАЯ ОБЛАСТЬ","высшее","до 3 лет",42500,1164831
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",76000,1164826
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1164824
"Образование, наука","КОСТАНАЙСКАЯ ОБЛАСТЬ","высшее","Без опыта",150000,1164818
"Образование, наука","АКМОЛИНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1164817
"Образование, наука","АЛМАТИНСКАЯ ОБЛАСТЬ","высшее","до 3 лет",110000,1164816
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","3-5 лет",76000,1164813
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90697,1164810
"Образование, наука","В-КАЗАХСТАНСКАЯ ОБЛАСТЬ","высшее","Без опыта",90000,1164809
